Time,Lat,Lon,TiltX,TiltY,TiltZ,Lt_0,Lt_1,Lt_2,Lt_3,Lt_4,Lt_5,Lt_6,Lt_7,Lt_8,Lt_9,Gain_Lt,ATIME_Lt,ASTEP_Lt,Li_0,Li_1,Li_2,Li_3,Li_4,Li_5,Li_6,Li_7,Li_8,Li_9,Gain_Li,ATIME_Li,ASTEP_Li,Ed_0,Ed_1,Ed_2,Ed_3,Ed_4,Ed_5,Ed_6,Ed_7,Ed_8,Ed_9,Gain_Ed,ATIME_Ed,ASTEP_Ed
NaN,NaN,NaN,0.27,0.31,10.26,88,291,281,506,674,839,807,408,448,2262,6,255,1000,131,185,282,388,660,1043,986,627,593,1648,5,255,1000,4,6,8,11,17,18,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.27,0.25,10.22,88,291,281,506,674,838,806,408,448,2263,6,255,1000,131,185,281,387,658,1039,979,621,598,1644,5,255,1000,4,6,8,11,17,18,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.35,0.39,10.20,88,291,281,506,673,838,806,407,448,2262,6,255,1000,131,184,281,386,657,1039,979,621,598,1643,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.29,0.31,10.18,88,291,281,506,674,839,806,407,447,2261,6,255,1000,131,185,281,387,658,1040,980,622,597,1644,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.35,0.37,10.20,88,291,281,506,673,839,807,407,448,2263,6,255,1000,131,185,282,387,658,1042,982,624,600,1648,5,255,1000,4,6,8,11,17,18,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.27,0.37,10.22,88,291,281,506,674,838,806,407,448,2262,6,255,1000,131,184,281,386,657,1039,979,621,594,1641,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.29,0.29,10.20,88,291,281,506,673,838,806,407,447,2262,6,255,1000,131,185,281,387,657,1039,979,621,596,1641,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.27,0.37,10.28,88,291,281,506,674,839,806,407,449,2263,6,255,1000,131,185,281,387,657,1039,979,620,596,1641,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.24,0.33,10.20,88,291,281,505,673,838,806,407,447,2261,6,255,1000,131,184,281,386,657,1039,979,621,595,1641,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.27,0.37,10.22,88,291,281,506,673,838,806,407,446,2260,6,255,1000,131,184,281,386,657,1040,980,622,594,1641,5,255,1000,4,6,8,11,17,17,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.25,0.31,10.26,88,290,280,505,672,838,805,407,445,2258,6,255,1000,131,185,282,388,659,1043,986,627,595,1649,5,255,1000,4,6,8,11,17,17,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.27,0.27,10.24,88,291,281,505,673,838,806,407,447,2261,6,255,1000,131,185,282,388,659,1043,985,628,598,1650,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.22,0.39,10.24,88,291,280,505,673,838,806,407,447,2261,6,255,1000,131,185,282,388,659,1043,985,627,596,1648,5,255,1000,4,6,8,11,17,17,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.20,0.31,10.16,88,290,281,505,674,838,806,407,447,2260,6,255,1000,131,185,282,388,659,1043,985,627,596,1649,5,255,1000,4,6,8,11,17,17,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.29,0.31,10.24,88,291,281,505,673,838,806,407,447,2261,6,255,1000,131,185,282,388,659,1043,986,628,598,1651,5,255,1000,4,6,8,11,17,17,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.45,0.41,10.28,88,291,281,506,673,838,806,407,446,2259,6,255,1000,131,185,282,388,659,1042,985,627,594,1647,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.31,0.31,10.22,88,291,280,505,673,838,806,407,445,2258,6,255,1000,131,185,282,388,659,1043,985,628,598,1650,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.27,0.37,10.24,88,290,281,506,673,838,806,407,446,2260,6,255,1000,132,185,283,388,659,1043,986,628,599,1651,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.24,0.37,10.55,88,291,280,505,673,838,805,407,444,2256,6,255,1000,131,185,282,388,660,1044,987,629,597,1652,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.31,0.27,10.22,88,291,280,505,673,838,806,407,446,2259,6,255,1000,131,185,282,388,659,1043,986,628,599,1652,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.24,0.39,10.36,88,290,280,505,673,838,805,407,447,2259,6,255,1000,132,185,282,388,660,1043,986,628,600,1652,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.29,0.27,10.22,88,291,280,505,673,838,806,407,447,2260,6,255,1000,131,185,281,387,658,1041,981,623,597,1646,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.22,0.25,10.30,88,290,281,505,673,838,806,407,446,2259,6,255,1000,131,185,282,388,659,1042,983,625,597,1649,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.27,0.35,10.04,88,291,281,505,673,838,806,407,446,2259,6,255,1000,131,185,282,387,659,1041,982,623,595,1644,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.29,0.31,10.20,88,290,280,505,673,838,805,407,444,2257,6,255,1000,131,185,282,387,659,1042,983,624,594,1646,5,255,1000,4,6,8,11,16,17,25,13,65,123,5,255,1000
NaN,NaN,NaN,0.33,0.35,10.22,87,290,280,505,672,837,804,406,441,2252,6,255,1000,129,182,277,381,650,1030,966,608,572,1603,5,255,1000,3,6,8,10,16,17,24,13,65,123,5,255,1000
NaN,NaN,NaN,0.25,0.27,10.18,87,290,280,504,672,838,805,406,441,2252,6,255,1000,132,186,283,390,663,1047,992,632,596,1658,5,255,1000,4,6,8,11,17,17,25,14,65,124,5,255,1000
NaN,NaN,NaN,0.27,0.33,10.24,87,290,280,504,672,837,805,406,441,2252,6,255,1000,131,186,283,389,661,1045,989,630,597,1654,5,255,1000,4,6,8,11,17,17,25,14,65,124,5,255,1000
NaN,NaN,NaN,0.35,0.35,10.22,87,290,280,505,673,838,806,407,444,2256,6,255,1000,133,187,285,392,663,1048,993,633,601,1664,5,255,1000,4,6,8,11,17,17,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.27,0.35,10.24,88,290,280,505,673,838,806,406,443,2256,6,255,1000,133,187,285,392,666,1051,997,637,607,1673,5,255,1000,4,6,8,11,17,17,25,14,65,124,5,255,1000
NaN,NaN,NaN,0.25,0.33,10.12,87,290,280,505,672,837,805,406,442,2254,6,255,1000,132,186,283,389,662,1046,991,631,597,1658,5,255,1000,4,6,8,11,17,18,25,14,65,124,5,255,1000
