Time,Lat,Lon,TiltX,TiltY,TiltZ,Lt_0,Lt_1,Lt_2,Lt_3,Lt_4,Lt_5,Lt_6,Lt_7,Lt_8,Lt_9,Gain_Lt,ATIME_Lt,ASTEP_Lt,Li_0,Li_1,Li_2,Li_3,Li_4,Li_5,Li_6,Li_7,Li_8,Li_9,Gain_Li,ATIME_Li,ASTEP_Li,Ed_0,Ed_1,Ed_2,Ed_3,Ed_4,Ed_5,Ed_6,Ed_7,Ed_8,Ed_9,Gain_Ed,ATIME_Ed,ASTEP_Ed
NaN,NaN,NaN,0.10,0.18,10.40,87,290,280,504,671,836,803,406,445,2264,6,255,1000,127,184,265,385,656,998,979,625,598,1646,5,255,1000,4,6,8,11,16,17,25,14,65,121,5,255,1000
NaN,NaN,NaN,0.24,0.25,9.81,88,290,281,505,672,837,804,407,446,2267,6,255,1000,127,184,266,385,653,995,977,620,583,1627,5,255,1000,4,6,8,11,17,17,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.27,0.29,10.26,88,291,281,506,674,839,806,408,443,2261,6,255,1000,127,182,271,383,656,1021,980,621,580,1627,5,255,1000,4,6,8,11,17,18,25,14,66,124,5,255,1000
NaN,NaN,NaN,0.29,0.37,10.20,88,291,281,506,673,839,806,408,446,2262,6,255,1000,132,186,283,389,662,1047,991,632,601,1660,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.22,0.31,10.18,88,291,281,506,674,839,806,408,447,2262,6,255,1000,132,186,283,389,661,1046,989,631,601,1658,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.22,0.29,10.24,88,291,281,506,674,839,806,408,447,2263,6,255,1000,131,185,282,387,658,1040,981,623,599,1646,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.29,0.37,10.24,88,291,281,506,674,839,806,407,448,2264,6,255,1000,131,185,282,388,659,1042,982,624,600,1649,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.29,0.37,10.36,88,291,281,506,674,839,806,408,447,2263,6,255,1000,132,186,283,389,661,1045,988,629,600,1656,5,255,1000,4,6,8,11,16,17,25,13,66,124,5,255,1000
NaN,NaN,NaN,0.24,0.31,10.14,88,291,281,505,673,838,806,407,447,2261,6,255,1000,132,186,283,389,661,1045,988,630,598,1655,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.39,0.27,10.26,88,291,281,506,673,838,806,407,448,2263,6,255,1000,132,186,283,389,661,1045,988,630,599,1656,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.25,0.33,10.22,88,291,281,505,673,839,806,407,448,2262,6,255,1000,132,186,283,389,660,1045,988,630,600,1655,5,255,1000,4,6,8,11,17,18,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.25,0.33,10.22,88,291,281,506,674,839,806,408,449,2264,6,255,1000,131,185,282,387,658,1041,981,623,600,1648,5,255,1000,4,6,8,11,17,18,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.24,0.29,10.24,88,291,281,506,674,839,807,408,448,2263,6,255,1000,132,186,284,390,662,1045,987,629,605,1662,5,255,1000,4,6,8,11,17,18,25,14,67,125,5,255,1000
NaN,NaN,NaN,0.24,0.31,10.22,88,291,281,506,674,839,806,407,447,2262,6,255,1000,132,186,283,389,660,1044,987,629,600,1656,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.12,0.35,10.24,88,291,281,505,673,839,806,407,447,2261,6,255,1000,132,186,283,389,660,1044,987,629,600,1655,5,255,1000,4,6,8,11,17,17,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.27,0.41,10.10,88,291,281,506,674,838,807,407,446,2261,6,255,1000,132,186,283,389,661,1045,989,630,601,1658,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
NaN,NaN,NaN,0.31,0.35,10.20,88,291,281,506,673,839,806,407,448,2262,6,255,1000,132,186,284,390,662,1047,991,632,606,1665,5,255,1000,4,6,8,11,17,18,25,14,66,125,5,255,1000
