Time,Lat,Lon,TiltX,TiltY,TiltZ,Lt_0,Lt_1,Lt_2,Lt_3,Lt_4,Lt_5,Lt_6,Lt_7,Lt_8,Lt_9,Gain_Lt,ATIME_Lt,ASTEP_Lt,Li_0,Li_1,Li_2,Li_3,Li_4,Li_5,Li_6,Li_7,Li_8,Li_9,Gain_Li,ATIME_Li,ASTEP_Li,Ed_0,Ed_1,Ed_2,Ed_3,Ed_4,Ed_5,Ed_6,Ed_7,Ed_8,Ed_9,Gain_Ed,ATIME_Ed,ASTEP_Ed
NaN,NaN,NaN,0.33,0.35,10.18,88,294,282,510,684,831,808,404,464,2255,6,255,1000,131,179,282,375,632,1022,947,609,592,1589,5,255,1000,4,6,8,11,17,18,25,14,65,127,5,255,1000
NaN,NaN,NaN,0.25,0.31,10.34,88,294,283,511,684,831,807,404,464,2254,6,255,1000,131,178,281,373,629,1018,943,605,584,1576,5,255,1000,4,6,8,11,17,17,25,14,65,126,5,255,1000
NaN,NaN,NaN,0.31,0.35,10.24,88,294,282,510,683,831,807,404,464,2255,6,255,1000,130,177,280,372,627,1015,939,600,576,1563,5,255,1000,3,6,8,10,16,17,25,13,64,125,5,255,1000
