Time,Lat,Lon,TiltX,TiltY,TiltZ,Lt_0,Lt_1,Lt_2,Lt_3,Lt_4,Lt_5,Lt_6,Lt_7,Lt_8,Lt_9,Gain_Lt,ATIME_Lt,ASTEP_Lt,Li_0,Li_1,Li_2,Li_3,Li_4,Li_5,Li_6,Li_7,Li_8,Li_9,Gain_Li,ATIME_Li,ASTEP_Li,Ed_0,Ed_1,Ed_2,Ed_3,Ed_4,Ed_5,Ed_6,Ed_7,Ed_8,Ed_9,Gain_Ed,ATIME_Ed,ASTEP_Ed
NaN,NaN,NaN,0.27,0.20,10.40,83,282,269,486,655,800,773,386,435,2149,6,255,1000,125,177,258,372,630,961,942,604,600,1593,5,255,1000,3,6,8,10,16,17,24,13,64,119,5,255,1000
NaN,NaN,NaN,0.43,0.24,10.22,83,281,269,487,655,801,774,386,434,2150,6,255,1000,124,176,257,369,628,958,939,600,591,1578,5,255,1000,3,6,8,10,16,17,24,13,64,119,5,255,1000
NaN,NaN,NaN,0.33,0.16,10.26,83,281,269,486,655,800,773,386,434,2149,6,255,1000,124,176,257,370,628,957,938,600,592,1581,5,255,1000,3,6,8,10,16,17,24,13,64,119,5,255,1000
NaN,NaN,NaN,0.27,0.25,10.18,83,282,269,486,655,800,773,386,434,2149,6,255,1000,119,174,244,367,627,1006,936,594,572,1557,5,255,1000,3,5,8,10,16,17,24,13,62,117,5,255,1000
NaN,NaN,NaN,0.31,0.24,10.26,83,282,270,488,657,801,778,387,448,2172,6,255,1000,134,178,296,375,631,1065,941,604,570,1563,5,255,1000,3,5,7,10,16,17,24,13,62,118,5,255,1000
NaN,NaN,NaN,0.29,0.22,10.40,83,282,270,488,657,801,777,388,448,2172,6,255,1000,133,179,290,376,633,1042,948,608,589,1588,5,255,1000,3,6,7,10,16,17,24,13,61,116,5,255,1000
NaN,NaN,NaN,0.31,0.25,10.22,83,282,269,488,657,801,777,387,448,2172,6,255,1000,133,179,290,375,632,1042,946,607,587,1584,5,255,1000,3,6,8,10,16,17,24,13,62,117,5,255,1000
NaN,NaN,NaN,0.04,0.16,10.53,83,282,270,488,657,801,777,387,448,2172,6,255,1000,133,179,290,375,632,1042,946,607,588,1585,5,255,1000,3,6,8,10,16,17,24,13,62,116,5,255,1000
