Time,Lat,Lon,TiltX,TiltY,TiltZ,Lt_0,Lt_1,Lt_2,Lt_3,Lt_4,Lt_5,Lt_6,Lt_7,Lt_8,Lt_9,Gain_Lt,ATIME_Lt,ASTEP_Lt,Li_0,Li_1,Li_2,Li_3,Li_4,Li_5,Li_6,Li_7,Li_8,Li_9,Gain_Li,ATIME_Li,ASTEP_Li,Ed_0,Ed_1,Ed_2,Ed_3,Ed_4,Ed_5,Ed_6,Ed_7,Ed_8,Ed_9,Gain_Ed,ATIME_Ed,ASTEP_Ed
NaN,NaN,NaN,0.31,0.35,10.24,88,294,283,511,684,832,808,404,462,2255,6,255,1000,129,178,275,373,629,1004,944,606,584,1580,5,255,1000,4,6,8,11,17,17,25,14,64,125,5,255,1000

NaN,NaN,NaN,0.25,0.35,10.20,89,294,283,511,684,832,808,404,463,2256,6,255,1000,129,178,276,373,629,1004,944,606,586,1581,5,255,1000,4,6,8,11,17,17,25,14,64,125,5,255,1000

NaN,NaN,NaN,0.25,0.35,10.22,88,294,283,511,684,832,808,405,463,2256,6,255,1000,129,178,276,373,629,1004,944,606,587,1581,5,255,1000,4,6,8,11,17,17,25,14,64,125,5,255,1000

