Time_UTC_logger,415_converted,445_converted,480_converted,515_converted,555_converted,590_converted,630_converted,680_converted,Time_UTC_rounded,Time_UTC_pySAS,415_pySAS,445_pySAS,480_pySAS,515_pySAS,555_pySAS,590_pySAS,630_pySAS,680_pySAS
2025-06-12 16:09:29,0.5273457372393044,0.681257855107721,0.8751317921499647,0.950431918033037,1.1171421367676078,0.8584356116163764,0.5297221664462249,0.38827597558820814,2025-06-12 16:09:29,2025-06-12 16:09:29.259,0.5194425874688148,0.6710571332150665,0.8641528875599883,0.9405293589734428,1.110220541955442,0.8486802339741673,0.5128521550085293,0.3735138467399741
2025-06-12 16:09:34,0.5317585093905918,0.6871270650073265,0.8818458575493298,0.9556691120998076,1.1184374705765927,0.8605193620590947,0.5337794066596198,0.39257159598867397,2025-06-12 16:09:34,2025-06-12 16:09:33.773,0.5079140603611021,0.6570194253696297,0.8475435575295236,0.9262154046377564,1.0919439913618547,0.8324417901621441,0.4976024040218268,0.3567770118099367
2025-06-12 16:09:36,0.5333631538092417,0.6895437984953994,0.8845314837090757,0.9579385628620749,1.1194089709333312,0.8636449877231722,0.5372570411282438,0.3987081965607681,2025-06-12 16:09:36,2025-06-12 16:09:36.002,0.5099681612050304,0.6615907982163015,0.8559101845688141,0.9357697665410902,1.1054647502387358,0.8441327878389868,0.5098877420531733,0.3716104121016191
2025-06-12 16:09:41,0.5329619927045792,0.6895437984953994,0.8839943584771265,0.9577639897265159,1.1167373449523,0.8582867722990394,0.5281765511268364,0.3899124024074332,2025-06-12 16:09:41,2025-06-12 16:09:40.570,0.5204230879365266,0.6712615746313975,0.8646219983142193,0.9412021148285508,1.1099505578064972,0.8490207449507764,0.5148651910970838,0.3747101221666248
2025-06-12 16:09:54,0.5329619927045792,0.6891985508542461,0.8842629210931011,0.9560182583709257,1.1143895524235148,0.8535239141442547,0.5206416764448174,0.38029839484448574,2025-06-12 16:09:54,2025-06-12 16:09:54.026,0.5302887212025476,0.6832502106136362,0.8754428221246839,0.95206756308895,1.119272165821979,0.8561894558878353,0.5234995317699334,0.3797785724623398
2025-06-12 16:09:56,0.5321596704952543,0.687817560289633,0.8821144201653044,0.9558436852353667,1.1177898036721001,0.8596263261550726,0.5328133970850019,0.39195793593146455,2025-06-12 16:09:56,2025-06-12 16:09:56.354,0.5178175621702629,0.6681058984559632,0.860567194000118,0.9388718344118262,1.107133483541438,0.8472121287883918,0.5144127074617684,0.3730503309144564
2025-06-12 16:10:01,0.5349677982278916,0.6923057796246255,0.8858742967889487,0.9598588673532241,1.1187613040288389,0.8614123979631169,0.5347454162342375,0.39400346945549597,2025-06-12 16:10:01,2025-06-12 16:10:01.022,0.514653522776898,0.6664800963575588,0.8589912869664773,0.9378646095514538,1.105810739710719,0.8428579394367068,0.5110711413709397,0.3715730883521471
2025-06-12 16:10:19,0.5337643149139042,0.6895437984953994,0.8839943584771265,0.9574148434553978,1.1165754282261768,0.8570960577603431,0.5277901472969893,0.38827597558820814,2025-06-12 16:10:19,2025-06-12 16:10:18.932,0.5107194899950436,0.6648864180883832,0.8591556706805908,0.9371627079392072,1.1064020643896677,0.846879055046552,0.5153661724820756,0.3767670746948032
2025-06-12 16:10:21,0.5285492205532919,0.682638845672334,0.8770117304617869,0.9511302105752731,1.1160896780478073,0.855905343221647,0.5268241377223715,0.3843894618925485,2025-06-12 16:10:21,2025-06-12 16:10:21.161,0.5089355425422211,0.6608619911324761,0.8501720369361981,0.9298042551081358,1.096209780453497,0.836295105206751,0.5057925719708766,0.366548644041919
2025-06-12 16:10:33,0.5245376095066672,0.6774601310550351,0.8708347902943712,0.9474641747285336,1.1160896780478073,0.8572448970776803,0.5260513300626772,0.3862304420641767,2025-06-12 16:10:33,2025-06-12 16:10:32.593,0.5122894640443753,0.6626283497733785,0.8551787916978016,0.9321065711402547,1.1004971233202323,0.8405314186023148,0.5079222794819275,0.3682764105804055
2025-06-12 16:10:46,0.5297527038672794,0.6850555791604069,0.8794287940055583,0.9542725270153355,1.116332553136992,0.8566495398083321,0.5275969453820657,0.3862304420641767,2025-06-12 16:10:46,2025-06-12 16:10:46.068,0.5438682224131476,0.7021183281621236,0.901102888959163,0.9772831242262936,1.148172820677702,0.8837100296271628,0.5490273354079467,0.4104446791639346
2025-06-12 16:10:48,0.5253399317159921,0.6784958739784949,0.8719090407582696,0.9479878941352107,1.1145514691496379,0.8530773961922435,0.5212212821895881,0.3794801814348732,2025-06-12 16:10:48,2025-06-12 16:10:48.313,0.5131626776256837,0.6638636781009379,0.858763638383439,0.9375550998088492,1.1075751582516344,0.8447509879712226,0.5123012949476458,0.373145816540556
2025-06-12 16:10:51,0.5277468983439669,0.6816031027488743,0.8762060426138631,0.9506064911685961,1.1162515947739307,0.8566495398083321,0.5274037434671421,0.3847985685973548,2025-06-12 16:10:51,2025-06-12 16:10:50.658,0.5182589932621235,0.6714538541094499,0.8652229954979981,0.9428410249613284,1.1113711137144764,0.8483767966268974,0.5173921704119128,0.3788997056763895
2025-06-12 16:11:11,0.5277468983439669,0.6816031027488743,0.875668917381914,0.9506064911685961,1.1169802200414847,0.8576914150296913,0.530108570276072,0.3870486554737893,2025-06-12 16:11:11,2025-06-12 16:11:11.081,0.5434028119273859,0.704017967000133,0.9055111700074258,0.9822513900506196,1.1550044728237394,0.8897966144792314,0.5596437492270357,0.4190274996791417
